

('Направление: 03.03.01 Прикладные математика и физика','Рус','Мат','Физ','Инф','ИТ','МПД',NULL,NULL,NULL,NULL,NULL,'Соч.','Баллы',NULL,NULL),
('Образовательная программа: Моделирование процессов и производств нефтегазового комплекса',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL),
('1','85','66','49',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'204',NULL,NULL),
('2','72','46',NULL,'75',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'199',NULL,NULL),
('3','69','68','51',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'198',NULL,NULL),
('4','67','58',NULL,'65',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'197',NULL,NULL),
('5','83','58',NULL,'48',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'194',NULL,NULL),
('6','73','58','55',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'191',NULL,NULL),
('7','60','66','58',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'189',NULL,NULL),
('8','66','58',NULL,'56',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'183',NULL,NULL),
('9','58','52',NULL,'70',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'183',NULL,NULL),
('10','58',NULL,NULL,NULL,'60','55',NULL,NULL,NULL,NULL,NULL,NULL,'183',NULL,NULL),
('11','60','58','53',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'181',NULL,NULL),
('12','56','55',NULL,'65',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'180',NULL,NULL),
('13','78','39',NULL,'62',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'179',NULL,NULL),
('14','66','58',NULL,'55',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'179',NULL,NULL),
('15','73','46',NULL,'56',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'179',NULL,NULL),
('16','58','60',NULL,'60',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'178',NULL,NULL),
('17','60',NULL,NULL,NULL,'55','53',NULL,NULL,NULL,NULL,NULL,NULL,'178',NULL,NULL),
('18','75','52','45',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'176',NULL,NULL),
('19','67','52','52',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'176',NULL,NULL),
('Образовательная программа: Прикладные физика и математика',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL),
('1','78','68','59',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'215',NULL,NULL),
('2','67','64','65',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'206',NULL,NULL),
('3','77','53','55',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'185',NULL,NULL),
('4','66','58',NULL,'56',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'183',NULL,NULL),
('5','56',NULL,NULL,NULL,'65','51',NULL,NULL,NULL,NULL,NULL,NULL,'182',NULL,NULL),
('6','54',NULL,NULL,NULL,'65','53',NULL,NULL,NULL,NULL,NULL,NULL,'182',NULL,NULL),
('7','63','64','51',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'181',NULL,NULL),
('8','75','52','47',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'181',NULL,NULL),
('9','60',NULL,NULL,NULL,'65','55',NULL,NULL,NULL,NULL,NULL,NULL,'180',NULL,NULL),
('УГН: 07.00.00 Архитектура','Общ','Спец. гр.чер','Рис','Рус','ОснПрофКом','Мат',NULL,NULL,NULL,NULL,NULL,'Соч.','Баллы',NULL,NULL),
('Образовательная программа: Архитектурная реконструкция в исторической застройке',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL),
('1','86','92','75','83',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'341',NULL,NULL),
('2','90','91','58','91',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'340',NULL,NULL),
('3','72','93','85','67',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'327',NULL,NULL),
('4','68','99','75','72',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'324',NULL,NULL),
('5',NULL,'86','90','79',NULL,'58',NULL,NULL,NULL,NULL,NULL,NULL,'321',NULL,NULL),
('6',NULL,'96','65','72',NULL,'72',NULL,NULL,NULL,NULL,NULL,NULL,'315',NULL,NULL),
('7','83','89','55','83',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'314',NULL,NULL),
('8',NULL,'81','75','69',NULL,'84',NULL,NULL,NULL,NULL,NULL,NULL,'309',NULL,NULL),
('9','71','73','75','79',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'303',NULL,NULL),
('10','55','87','65','73',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'288',NULL,NULL),
('11','67','83','45','83',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'287',NULL,NULL),
